date,range,first_row,row_density,comment
7/12/2019,19,81,16,
7/12/2019,20,81,7,
7/12/2019,21,81,6.5,
7/12/2019,22,81,10.5,
7/12/2019,23,81,12,
7/12/2019,24,81,9.5,
7/12/2019,25,81,11,
7/12/2019,25,85,17,
7/12/2019,24,85,15.5,
7/12/2019,23,85,14,
7/12/2019,22,85,10,
7/12/2019,21,85,5.5,
7/12/2019,20,85,12.5,
7/12/2019,19,85,9.5,
7/12/2019,18,85,10.5,
7/12/2019,17,85,13,
7/12/2019,16,85,17,
7/12/2019,15,85,15,
7/12/2019,14,85,11.5,
7/12/2019,13,85,15,
7/12/2019,12,85,10.5,
7/12/2019,11,85,13.5,
7/12/2019,10,85,14,
7/12/2019,9,85,11.5,
7/12/2019,8,85,11.5,
7/12/2019,7,85,12.5,
7/12/2019,6,85,9.5,
7/12/2019,5,85,9.5,
7/12/2019,4,85,10.5,
7/12/2019,3,85,7.5,
7/12/2019,2,85,9.5,
7/12/2019,2,89,13,
7/12/2019,3,89,16.5,
7/12/2019,4,89,12.5,
7/12/2019,5,89,11,
7/12/2019,6,89,11.5,
7/12/2019,7,89,9.5,
7/12/2019,8,89,12,
7/12/2019,9,89,14,
7/12/2019,10,89,14,
7/12/2019,11,89,14,
7/12/2019,12,89,16,
7/12/2019,13,89,11.5,
7/12/2019,14,89,12,
7/12/2019,15,89,10.5,
7/12/2019,16,89,16.5,
7/12/2019,17,89,13.5,
7/12/2019,18,89,11,
7/12/2019,19,89,8.5,
7/12/2019,20,89,9.5,
7/12/2019,21,89,16.5,
7/12/2019,22,89,12,
7/12/2019,23,89,12,
7/12/2019,24,89,14.5,
7/12/2019,25,89,12.5,
7/12/2019,25,93,4.5,
7/12/2019,24,93,11,
7/12/2019,23,93,10.5,
7/12/2019,22,93,11.5,
7/12/2019,21,93,10,
7/12/2019,20,93,9,
7/12/2019,19,93,14,
7/12/2019,18,93,9,
7/12/2019,17,93,20.5,
7/12/2019,16,93,15.5,
7/12/2019,15,93,13.5,
7/12/2019,14,93,11,
7/12/2019,13,93,9,
7/12/2019,12,93,11.5,
7/12/2019,11,93,9,
7/12/2019,10,93,9.5,
7/12/2019,9,93,14,
7/12/2019,8,93,14,
7/12/2019,7,93,8,
7/12/2019,6,93,14.5,
7/12/2019,5,93,10.5,
7/12/2019,4,93,5.5,
7/12/2019,3,93,15.5,
7/12/2019,2,93,12.5,
7/12/2019,2,97,12,
7/12/2019,3,97,11.5,
7/12/2019,4,97,10,
7/12/2019,5,97,10.5,
7/12/2019,6,97,9,
7/12/2019,7,97,4.5,
7/12/2019,8,97,10,
7/12/2019,9,97,10.5,
7/12/2019,10,97,11,
7/12/2019,11,97,13.5,
7/12/2019,12,97,10.5,
7/12/2019,13,97,8,
7/12/2019,14,97,9.5,
7/12/2019,15,97,11.5,
7/12/2019,16,97,8,
7/12/2019,17,97,11,
7/12/2019,18,97,13,
7/12/2019,19,97,10,
7/12/2019,20,97,7,
7/12/2019,21,97,6.5,
7/12/2019,22,97,9,
7/12/2019,23,97,10.5,
7/12/2019,24,97,10,
7/12/2019,25,97,7,
7/12/2019,2,101,10.5,
7/12/2019,3,101,9,
7/12/2019,4,101,10,
7/12/2019,5,101,10,
7/12/2019,6,101,10.5,
7/12/2019,7,101,4,
7/12/2019,8,101,7,
7/12/2019,9,101,9.5,
7/12/2019,10,101,9,
7/12/2019,11,101,16,
7/12/2019,12,101,10.5,
7/12/2019,13,101,11,
7/12/2019,14,101,7.5,
7/12/2019,15,101,8.5,
7/12/2019,16,101,1.5,
7/12/2019,17,101,4,
7/12/2019,18,101,11,
7/12/2019,19,101,16,
7/12/2019,20,101,13,
7/12/2019,21,101,8.5,
7/12/2019,22,101,8,
7/12/2019,23,101,6,
7/12/2019,24,101,9,
7/12/2019,25,101,7,
7/12/2019,25,105,16.5,
7/12/2019,24,105,15.5,
7/12/2019,23,105,21.5,
7/12/2019,22,105,17,
7/12/2019,21,105,16,
7/12/2019,20,105,14.5,
7/12/2019,19,105,16.5,
7/12/2019,18,105,21,
7/12/2019,17,105,16,
7/12/2019,16,105,16,
7/12/2019,15,105,21.5,
7/12/2019,14,105,13,
7/12/2019,13,105,16,
7/12/2019,12,105,11.5,
7/12/2019,11,105,15,
7/12/2019,10,105,15.5,
7/12/2019,9,105,16,
7/12/2019,8,105,14.5,
7/12/2019,7,105,10,
7/12/2019,6,105,15.5,
7/12/2019,5,105,13.5,
7/12/2019,4,105,10.5,
7/12/2019,3,105,10,
7/12/2019,2,105,15,
7/12/2019,2,109,11.5,
7/12/2019,3,109,19.5,
7/12/2019,4,109,11,
7/12/2019,5,109,18,
7/12/2019,6,109,15.5,
7/12/2019,7,109,16,
7/12/2019,8,109,13.5,
7/12/2019,9,109,14,
7/12/2019,10,109,15,
7/12/2019,11,109,14,
7/12/2019,12,109,12.5,
7/12/2019,13,109,13.5,
7/12/2019,14,109,13,
7/12/2019,15,109,13.5,
7/12/2019,16,109,13,
7/12/2019,17,109,12.5,
7/12/2019,18,109,12,
7/12/2019,19,109,13,
7/12/2019,20,109,10.5,
7/12/2019,21,109,11.5,
7/12/2019,22,109,7,
7/12/2019,23,109,11.5,
7/12/2019,24,109,9.5,
7/12/2019,25,109,10.5,
7/12/2019,25,113,10,
